ID,Module,Category,Type,Text,Options
M1_Q01,M1,Decision Style,single_choice,"Khi cần đưa ra quyết định quan trọng, bạn thường:","A. Dựa vào trực giác và kinh nghiệm | B. Tìm hiểu SÂU một vài nguồn tin đáng tin | C. Liệt kê ưu/nhược điểm, phân tích diện rộng | D. Hỏi ý kiến nhiều người xung quanh"
M1_Q06,M1,Decision Style,single_choice,"Ý kiến của ai ẢNH HƯỞNG NHIỀU NHẤT đến quyết định của bạn?","A. Chính bản thân tôi - tôi là người quyết định cuối cùng | B. Gia đình/người thân | C. Mentor/expert trong lĩnh vực | D. Bạn bè/Đồng nghiệp"
M1_Q09,M1,Motivation,single_choice,"Điều gì THÚC ĐẨY bạn MẠNH NHẤT trong cuộc sống?","A. ⭐ Ảnh hưởng, được nhìn nhận, có tiếng nói | B. 💰 Tài chính, an toàn, ổn định | C. 🦅 Tự do, không bị ràng buộc | D. ❤️ Kết nối, được yêu thương | E. 🎯 Giỏi giang, thành thạo, master | F. 🌟 Ý nghĩa, sống có mục đích | G. 💚 Tâm thương, giúp đỡ, chữa lành"
M1_Q13,M1,Fear,single_choice,"Điều gì bạn SỢ NHẤT hoặc muốn TRÁNH NHẤT?","A. 🔒 Bị mắc kẹt, mất tự do | B. 💔 Bị bỏ rơi, mất kết nối | C. 📉 Tầm thường, không giỏi | D. 💸 Nghèo, mất an toàn | E. 🌑 Sống vô nghĩa | F. 🤕 Gây tổn thương cho người khác | G. 😶 Mờ nhạt, không có ảnh hưởng"
M2_Q01,M2,Declared Priority,ranking,"Sắp xếp 7 yếu tố sau theo độ QUAN TRỌNG với bạn (1 = quan trọng nhất):","financial. 💰 Tài chính | time. ⏰ Thời gian | health. 💪 Sức khỏe | relationships. ❤️ Quan hệ | skills. 🎯 Kỹ năng | reputation. ⭐ Danh tiếng | meaning. 🌟 Ý nghĩa"
M2_Q10,M2,Behavioral Recall,single_choice,"Khi quá bận, hoạt động nào THƯỜNG BỊ CẮT ĐẦU TIÊN?","A. Giải trí, nghỉ ngơi | B. Tập luyện, ăn uống healthy | C. Gặp gỡ bạn bè, gia đình | D. Thời gian học hỏi"
M2_Q11,M2,Behavioral Recall,single_choice,"Hoạt động nào bạn BẢO VỆ NHẤT, hiếm khi cho phép bị gián đoạn?","A. Giờ làm việc kiếm tiền | B. Giờ cho gia đình/con cái | C. Thời gian học/nghiên cứu | D. Giờ tập luyện/ngủ | E. Thời gian riêng tư (me-time)"
M2_Q09_Financial,M2,Time Allocation,scale,"Đánh giá mức độ đầu tư THỜI GIAN thực tế cho: CÔNG VIỆC KIẾM TIỀN (1=Rất ít, 10=Rất nhiều)",""
M2_Q09_Health,M2,Time Allocation,scale,"Đánh giá mức độ đầu tư THỜI GIAN thực tế cho: SỨC KHỎE (ngủ, tập, ăn)",""
M2_Q09_Relationships,M2,Time Allocation,scale,"Đánh giá mức độ đầu tư THỜI GIAN thực tế cho: QUAN HỆ (gia đình, bạn bè)",""
M2_Q09_Skills,M2,Time Allocation,scale,"Đánh giá mức độ đầu tư THỜI GIAN thực tế cho: HỌC HỎI & KỸ NĂNG",""
M3_Q01,M3,Alternative Recognition,single_choice,"Nghĩ về QUYẾT ĐỊNH LỚN trong 6 tháng qua. Khi đó, bạn đã cân nhắc bao nhiêu lựa chọn?","A. 1-2 lựa chọn | B. 3-4 lựa chọn, đã so sánh cái tốt nhất | C. 5+ lựa chọn"
M3_Q06,M3,Trade-off Articulation,single_choice,"Nghĩ về CÔNG VIỆC HIỆN TẠI. Bạn có thể nói rõ đang ĐÁNH ĐỔI điều gì không?","A. Có - thấy rõ NHIỀU trade-offs (thời gian, sức khỏe, cơ hội khác...) | B. Có thể nêu một vài trade-offs | C. Không rõ lắm / Không nghĩ nhiều"
M3_Q11,M3,Consequence Anticipation,single_choice,"Trước khi quyết định, bạn có hay hỏi: ""1 năm sau / 5 năm sau sẽ thế nào?""","A. Có - luôn nghĩ long-term | B. Đôi khi | C. Hiếm khi - focus hiện tại"
M3_Q13,M3,Consequence Anticipation,single_choice,"Nhìn lại 1 năm qua, bạn có hay BỊ BẤT NGỜ bởi hậu quả của quyết định mình không?","A. Có - đôi khi hậu quả khác xa dự đoán | B. Đôi khi - với quyết định lớn thì có | C. Hiếm khi - tôi thường lường trước được"
M4_Q01,M4,Ownership,single_choice,"Nhìn lại các quyết định quan trọng trong cuộc đời bạn, bạn cảm thấy:","A. Phần lớn là do TÔI chọn - tôi là người quyết định cuộc đời mình | B. Mix - một số do tôi chọn, một số do hoàn cảnh đưa đẩy | C. Phần lớn là do HOÀN CẢNH - tôi không có nhiều lựa chọn | D. Tôi không chắc - chưa bao giờ nghĩ về điều này"
M4_Q02,M4,Ownership,single_choice,"Nghĩ về một quyết định KHÓ KHĂN bạn đã đưa ra và hậu quả KHÔNG như mong đợi. Bạn nghĩ gì?","A. Đó là quyết định CỦA TÔI. Dù kết quả không tốt, tôi chịu trách nhiệm. | B. Tôi đã quyết định dựa trên thông tin lúc đó. Không ai có thể biết trước. | C. Nếu hoàn cảnh khác, tôi đã không chọn như vậy. Không hoàn toàn là lỗi của tôi. | D. Tôi bị ép phải chọn như vậy. Không phải quyết định thực sự của tôi."
M4_Q03,M4,Ownership,single_choice,"Khi mọi thứ không như ý, bạn thường:","A. Tự hỏi: ""Mình đã có thể làm gì khác?"" - Focus vào bản thân | B. Nhìn cả bản thân và yếu tố bên ngoài một cách cân bằng | C. Thường thấy nguyên nhân từ người khác hoặc hoàn cảnh | D. Tự trách mình quá mức, dù không phải lỗi của mình"
M4_Q04,M4,Acceptance,single_choice,"Bạn biết rõ công việc hiện tại đang lấy đi thời gian với gia đình (trade-off đã BIẾT TRƯỚC). Bạn cảm thấy thế nào?","A. Chấp nhận hoàn toàn - đây là giá tôi đã đồng ý trả | B. Chấp nhận nhưng vẫn thấy khó chịu - biết là phải nhưng không vui | C. Không chấp nhận - tôi đang tìm cách thay đổi | D. Tôi không nhận ra đây là trade-off cho đến khi đọc câu này"
M4_Q05,M4,Acceptance,single_choice,"Bạn quyết định X, và một hậu quả tiêu cực xảy ra mà bạn KHÔNG lường trước. Phản ứng thường thấy:","A. Chấp nhận - đây là risk của mọi quyết định. Move on và adapt. | B. Khó chịu một thời gian, rồi chấp nhận và điều chỉnh | C. Tức giận hoặc buồn bã - tại sao lại xảy ra như vậy? | D. Hối hận - đáng lẽ không nên quyết định như vậy"
M4_Q06,M4,Acceptance,single_choice,"Bạn có hay nghĩ: ""Giá như lúc đó tôi..."", ""Nếu mà tôi đã..."", ""Đáng lẽ tôi nên...""?","A. Rất hiếm - quá khứ đã qua, tôi focus vào hiện tại | B. Đôi khi - với những quyết định lớn thì có nghĩ lại | C. Khá thường xuyên - tôi hay suy nghĩ về các ""what if"" | D. Rất thường xuyên - chiếm nhiều tâm trí"
M4_Q07,M4,Acceptance,single_choice,"Khi nghĩ về những gì bạn đã ""mất"" hoặc ""hy sinh"" cho các quyết định, bạn thấy đó là:","A. GIÁ ĐÃ TRẢ - tôi chọn trả giá này để được điều tôi muốn | B. SỰ ĐỔI CHÁC - có được có mất, đó là tự nhiên | C. MẤT MÁT - tôi đã mất những thứ quan trọng | D. BỊ CƯỚP MẤT - hoàn cảnh hoặc người khác lấy đi của tôi"
M4_Q08,M4,Non-Regret,single_choice,"Khi một quyết định không ra kết quả tốt, bạn có HỐI HẬN không?","A. Không hối hận nếu tôi đã quyết định kỹ. Tôi phân biệt ""quyết định tệ"" và ""kết quả tệ"". | B. Hơi hối hận, nhưng hiểu rằng không ai biết trước được tương lai. | C. Hối hận khá nhiều - kết quả tệ = quyết định tệ. | D. Rất hối hận - tôi hay tự dằn vặt về các quyết định trong quá khứ."
M4_Q09,M4,Non-Regret,single_choice,"Để biết một quyết định của mình là ""tốt"" hay ""không tốt"", bạn dựa vào đâu?","A. Kết quả - nếu outcome tốt thì quyết định tốt | B. Kết quả + Process - cả hai đều quan trọng | C. Process - tôi đã suy nghĩ kỹ và quyết định đúng với giá trị chưa | D. Cảm giác bây giờ - tôi có hạnh phúc với quyết định đó không"
M4_Q10,M4,Integration,single_choice,"Nhìn lại toàn bộ bài test, câu nào mô tả bạn ĐÚNG NHẤT?","A. Tôi BIẾT RÕ đang đánh đổi gì, TỰ CHỌN trade-offs, và CHẤP NHẬN hệ quả. | B. Tôi BIẾT mình đang đánh đổi gì, nhưng đôi khi cảm thấy KHÔNG CÓ LỰA CHỌN KHÁC. | C. Tôi KHÔNG CHẮC mình đang đánh đổi gì. Cuộc sống cứ thế trôi đi. | D. Tôi THƯỜNG HỐI HẬN về các quyết định và cảm thấy cuộc sống không đi theo ý muốn."